, ,,,,,,,,Coke,
 , , ,,Residual,Distillate,Natural,HGL (excluding,Coal,and Breeze, 
NAICS, ,Total,Electricity(b),Fuel Oil,Fuel Oil(c),Gas(d),natural gasoline)(e),(million,(million,Other(f)
Code(a),Subsector and Industry,(trillion Btu),(million kWh),(million bbl),(million bbl),(billion cu ft),(million bbl),short tons),short tons),(trillion Btu)
,,,,,,,,,,
,,Total United States,,,,,,,,
311,Food,1100,92018,*,2,644,2,2,*,48
 3112, Grain and Oilseed Milling,243,14717,*,*,144,*,1,0,24
   311221,   Wet Corn Milling,110,6035,0,*,59,*,1,0,18
  31131,  Sugar Manufacturing,70,1179,*,*,32,*,1,*,2
 3114, Fruit and Vegetable Preserving and Specialty Food ,128,9945,*,*,88,*,0,0,1
 3115, Dairy Product,122,11509,*,*,76,*,0,0,1
 3116, Animal Slaughtering and Processing,276,31674,*,1,144,*,0,0,14
312,Beverage and Tobacco Products,106,14184,*,*,52,*,*,0,1
 3121, Beverages,99,13418,*,*,48,*,*,0,1
 3122, Tobacco ,7,766,*,*,4,*,0,0,*
313,Textile Mills,64,10882,*,*,22,*,*,0,1
314,Textile Product Mills,22,2842,0,*,11,*,*,0,*
315,Apparel,4,722,0,*,2,*,*,0,*
316,Leather and Allied Products,2,226,0,*,1,*,0,0,*
321,Wood Products,191,21764,*,2,65,1,*,0,34
   321113,   Sawmills,65,8180,*,1,17,*,0,0,14
 3212," Veneer, Plywood, and Engineered Woods",68,6817,*,*,30,*,*,0,12
   321219,   Reconstituted Wood Products,39,4289,*,*,20,*,0,0,4
 3219, Other Wood Products,50,6313,*,Q,14,*,*,0,Q
322,Paper,1069,55961,1,1,551,1,3,0,237
   322110,   Pulp Mills,72,2033,*,*,39,*,*,0,21
   322121,"   Paper Mills, except Newsprint",403,17898,1,*,216,*,2,0,74
   322122,   Newsprint Mills,25,4946,0,*,5,*,0,0,3
   322130,   Paperboard Mills,452,18401,*,*,227,*,1,0,136
323,Printing and Related Support,59,10032,*,*,23,*,0,0,*
324,Petroleum and Coal Products,1640,58130,*,2,D,2,*,0,D
   324110,   Petroleum Refineries,1510,53819,*,*,D,1,0,0,D
   324121,   Asphalt Paving Mixture and Block,63,1378,*,1,40,1,*,0,5
   324122,   Asphalt Shingle and Coating Materials,18,930,0,*,13,*,0,0,*
   324191,   Petroleum Lubricating Oil and Grease Products,25,1393,0,*,18,*,0,0,1
   324199,   Other Petroleum and Coal Products,25,610,0,*,8,*,0,0,14
325,Chemicals,3456,160480,*,1,D,2,5,*,D
   325110,   Petrochemicals,383,7903,0,*,D,*,0,0,D
   325120,   Industrial Gases,158,23068,0,*,D,*,0,0,D
   325180,   Other Basic Inorganic Chemicals,397,30356,0,*,210,*,2,*,41
   325193,   Ethyl Alcohol ,451,10819,0,*,346,*,2,0,11
   325194,"   Cyclic Crudes, Intermediate and Gum and Wood Chemicals",87,3515,0,*,49,*,0,0,24
   325199,   Other Basic Organic Chemicals,666,21178,*,*,386,*,1,0,161
   325211,   Plastics Materials and Resins,609,24174,0,D,402,D,D,0,103
   325212,   Synthetic Rubber,35,1417,0,*,19,*,*,0,9
   325220,   Artificial and Synthetic Fibers and Filaments,33,2728,0,*,22,*,*,0,*
   325311,   Nitrogenous Fertilizers,232,5137,0,*,205,*,0,0,1
   325312,   Phosphatic Fertilizers,D,2085,*,D,24,*,D,0,*
 3254, Pharmaceuticals and Medicines,114,10447,0,*,60,*,*,0,15
   325412,   Pharmaceutical Preparation,66,6115,0,*,29,*,*,0,14
   325992,"   Photographic Film, Paper, Plate, and Chemicals",8,923,*,*,3,*,0,0,2
326,Plastics and Rubber Products,256,49327,*,*,80,1,0,0,*
327,Nonmetallic Mineral Products,820,37923,*,4,335,1,9,*,124
   327120 ,   Clay Building Material and Refractories,47,1767,0,*,35,*,*,0,1
   327211,   Flat Glass,47,1419,0,*,40,*,0,0,1
   327212,   Other Pressed and Blown Glass and Glassware,31,2123,0,*,22,*,0,0,1
   327213,   Glass Containers,54,3447,0,*,41,*,0,0,*
   327215,   Glass Products from Purchased Glass,21,3670,0,*,8,*,0,0,*
   327310,   Cements,295,11421,0,*,55,*,5,*,89
   327410,   Lime,106,1398,0,*,18,*,3,*,17
   327420,   Gypsum,59,1541,0,*,50,*,0,0,*
   327993,   Mineral Wool,33,3110,0,*,21,*,*,*,*
331,Primary Metals,1331,113382,*,1,616,1,1,10,17
   331110,   Iron and Steel Mills and Ferroalloys,885,56170,*,1,396,*,1,10,14
 3312, Steel Products from Purchased Steel,51,6914,0,*,24,*,*,*,1
 3313, Alumina and Aluminum,207,26260,0,*,112,*,0,0,*
   331314,   Secondary Smelting and Alloying of Aluminum,21,780,0,*,17,*,0,0,*
   331315,"   Aluminum Sheet, Plate and Foils",73,5377,0,*,52,*,0,0,*
   331318,"   Other Aluminum Rolling, Drawing and Extruding",24,1917,0,*,17,*,0,0,*
 3314," Nonferrous Metals, except Aluminum",95,13272,0,*,40,*,0,*,2
   331410,   Nonferrous Metal (except Aluminum) Smelting and Refining,44,7887,0,*,15,*,0,*,1
 3315, Foundries,92,10766,*,*,43,*,*,*,*
   331511,   Iron Foundries,40,5196,0,*,12,*,*,*,*
   331523,   Nonferrous Metal Die-Casting Foundries,22,2078,*,*,14,*,0,0,*
   331524,"   Aluminum Foundries, except Die-Casting",9,788,0,*,6,*,0,0,*
332,Fabricated Metal Products,253,36063,0,*,120,1,*,0,2
333,Machinery,146,23569,*,*,57,1,*,0,1
334,Computer and Electronic Products,107,22194,*,*,29,*,0,0,*
   334413,   Semiconductors and Related Devices,53,11613,*,*,13,*,0,0,*
